tile_id,project_year,easting_m,northing_m,height_m
S13_4922_40,2016,3485150.0,1156243.0,53.305
S13_4922_40,2016,3484935.0,1155798.0,2.994
S13_4922_40,2016,3485875.0,1156533.0,40.596
S13_4922_40,2016,3485725.0,1155528.0,12.992
S13_4922_40,2016,3484650.0,1156018.0,32.748
S13_4922_40,2016,3485815.0,1156168.0,5.981
S13_4922_40,2016,3485940.0,1155818.0,28.994
S13_4922_40,2016,3484860.0,1156488.0,34.436
S13_4922_40,2016,3485835.0,1155268.0,31.753
S13_4922_40,2016,3485540.0,1155228.0,5.777
S13_4922_40,2016,3484815.0,1155513.0,43.072
S13_4922_40,2016,3484780.0,1156668.0,4.631
S13_4922_40,2016,3484615.0,1156423.0,13.994
S13_4922_40,2016,3485530.0,1156108.0,5.47
S13_4922_40,2016,3484965.0,1155703.0,5.863
S13_4922_40,2016,3485535.0,1156018.0,5.269
S13_4922_40,2016,3484620.0,1155608.0,3.346
S13_4922_40,2016,3485805.0,1155693.0,55.19
S13_4922_40,2016,3485540.0,1156458.0,2.12
S13_4922_40,2016,3485670.0,1156338.0,6.157
S13_4922_40,2016,3485405.0,1156308.0,11.928
S13_4922_40,2016,3485185.0,1156313.0,56.928
S13_4922_40,2016,3484785.0,1155623.0,28.919
S13_4922_40,2016,3485910.0,1156458.0,60.0
S13_4922_40,2016,3484715.0,1155528.0,21.756
S13_4922_40,2016,3485280.0,1155868.0,7.25
S13_4922_40,2016,3484680.0,1156058.0,41.842
S13_4922_40,2016,3484660.0,1156058.0,43.355
S13_4922_40,2016,3485545.0,1155813.0,30.832
S13_4922_40,2016,3485830.0,1155978.0,4.13
S13_4922_40,2016,3485690.0,1155338.0,11.748
S13_4922_40,2016,3485785.0,1156418.0,22.556
S13_4922_40,2016,3485300.0,1156083.0,36.566
S13_4922_40,2016,3485660.0,1156313.0,6.579
S13_4922_40,2016,3484935.0,1155533.0,24.37
S13_4922_40,2016,3484725.0,1155973.0,17.489
S13_4922_40,2016,3484780.0,1156543.0,16.206
S13_4922_40,2016,3484510.0,1156233.0,9.775
S13_4922_40,2016,3484605.0,1156138.0,42.643
S13_4922_40,2016,3485625.0,1155713.0,27.967
S13_4922_40,2016,3485850.0,1156193.0,12.655
S13_4922_40,2016,3485665.0,1155768.0,36.733
S13_4922_40,2016,3485520.0,1156273.0,13.563
S13_4922_40,2016,3485225.0,1156488.0,38.76
S13_4922_40,2016,3484865.0,1155963.0,10.091
S13_4922_40,2016,3485625.0,1155483.0,2.006
S13_4922_40,2016,3484550.0,1156273.0,9.64
S13_4922_40,2016,3485900.0,1156523.0,48.521
S13_4922_40,2016,3484635.0,1156013.0,30.631
S13_4922_40,2016,3484795.0,1155543.0,40.826
S13_4922_40,2016,3485880.0,1156068.0,2.088
S13_4922_40,2016,3485540.0,1155728.0,20.888
S13_4922_40,2016,3484505.0,1156338.0,3.426
S13_4922_40,2016,3485740.0,1155503.0,10.734
S13_4922_40,2016,3485225.0,1155958.0,25.118
S13_4922_40,2016,3485780.0,1156398.0,21.352
S13_4922_40,2016,3485680.0,1156468.0,2.953
S13_4922_40,2016,3484725.0,1156178.0,33.612
S13_4922_40,2016,3484890.0,1155978.0,12.034
S13_4922_40,2016,3484915.0,1155953.0,7.376
S13_4922_40,2016,3485690.0,1156193.0,4.637
S13_4922_40,2016,3485200.0,1156368.0,51.597
S13_4922_40,2016,3485990.0,1156158.0,8.916
S13_4922_40,2016,3484645.0,1156328.0,11.461
S13_4922_40,2016,3484940.0,1155558.0,21.948
S13_4922_40,2016,3485820.0,1156483.0,31.882
S13_4922_40,2016,3485650.0,1156383.0,4.715
S13_4922_40,2016,3485145.0,1156138.0,36.85
S13_4922_40,2016,3485825.0,1155913.0,11.652
S13_4922_40,2016,3484970.0,1156263.0,25.764
S13_4922_40,2016,3485315.0,1155903.0,11.426
S13_4922_40,2016,3485345.0,1156418.0,15.109
S13_4922_40,2016,3484645.0,1156303.0,11.406
S13_4922_40,2016,3484850.0,1155513.0,42.078
S13_4922_40,2016,3485520.0,1156133.0,7.743
S13_4922_40,2016,3485365.0,1155473.0,3.722
S13_4922_40,2016,3485010.0,1156273.0,34.472
S13_4922_40,2016,3485125.0,1156308.0,60.0
S13_4922_40,2016,3485760.0,1156708.0,14.427
S13_4922_40,2016,3484555.0,1156438.0,7.967
S13_4922_40,2016,3485535.0,1156183.0,11.251
S13_4922_40,2016,3484825.0,1156018.0,23.05
S13_4922_40,2016,3484940.0,1156613.0,20.7
S13_4922_40,2016,3484765.0,1156523.0,15.211
S13_4922_40,2016,3485345.0,1156053.0,25.923
S13_4922_40,2016,3485050.0,1156693.0,5.209
S13_4922_40,2016,3484695.0,1155428.0,10.117
S13_4922_40,2016,3484930.0,1155503.0,24.611
