tile_id,easting_m,northing_m,height_m
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387181.5,3899133.5,54.86
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387246.5,3899133.5,56.53
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387251.5,3899133.5,55.59
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387269.5,3899133.5,58.39
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387301.5,3899133.5,56.94
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387320.5,3899133.5,57.95
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387344.5,3899133.5,58.01
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387353.5,3899133.5,57.7
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387673.5,3899133.5,59.41
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387684.5,3899133.5,59.46
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387696.5,3899133.5,55.86
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387702.5,3899133.5,56.56
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387716.5,3899133.5,55.22
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387720.5,3899133.5,54.42
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387745.5,3899133.5,55.5
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387866.5,3899133.5,57.15
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387103.5,3899132.5,56.28
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387126.5,3899132.5,54.92
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387232.5,3899132.5,56.71
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387257.5,3899132.5,56.81
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387275.5,3899132.5,58.16
